store,friendly name,city,state,zip,address,
2351,Indian Harbour Beach,Indian Harbour Beach,FL,32937,1934 Highway A1A,
2352,Charlotte - Northlake Mall,Charlotte,NC,28216,10275 Perimeter Pkwy,
2354,La Plata,La Plata,MD,20646,300 Rosewick Rd,
2355,State College,State College,PA,16803,104 Valley Vista Dr,
2356,Richland County,Columbia,SC,29223,10106 Two Notch Rd,
2357,N. Hagerstown,Hagerstown,MD,21740,12809 Shank Farm Way,
2358,Gaffney,Gaffney,SC,29341,1601 West Floyd Baker Blvd,
2360,N. Tampa,Tampa,FL,33618,12901 N. Dale Mabry Highway,
2361,W. Cape Coral,Cape Coral,FL,33914,285 SW 25th Ln,
2362,Estero,Estero,FL,33928,10070 Estero Town Commons Pl,
2363,Poinciana,Kissimmee,FL,34746,4420 Pleasant Hill Rd,
2364,Deltona,Deltona,FL,32738,2170 Howland Blvd,
2365,N.E. Gainesville,Gainesville,FL,32609,2564 N.W. 13th St,
2366,Evans,Evans,GA,30809,4305 Washington Rd,
2367,Panama City Beach,Panama City Beach,FL,32407,11751 Panama City Beach Pkwy,
2368,N. Concord,Kannapolis,NC,28083,3025 Dale Earnhardt Blvd,
2369,W. Jackson,Jackson,MS,39204,2250 Greenway Dr,
2370,N. Hickory,Hickory,NC,28601,1450 2nd St NE,
2371,Cypress,Cypress,TX,77429,14128 Cypress-Rosehill Rd,
2372,Saugus,Saugus,MA,1906,1500 Broadway,
2374,N. Conway,Conway,NH,3818,32 Mountain Valley Blvd,
2375,Hudson,Hudson,MA,1749,6 Highland Common East,
2376,Wareham,Wareham,MA,2571,2421 Cranberry Highway Suite 100
2378,W. Philadelphia,Philadelphia,PA,19131,1500 North 50th St,
2379,Clay,Liverpool,NY,13090,3856 State Route 31,
2380,Syracuse,Syracuse,NY,13224,131 Simon Dr,
2382,Salem,Salem,NH,3079,541 South Broadway,
2383,Cromwell,Cromwell,CT,6416,90 Berlin Rd,
2384,Framingham,Framingham,MA,1701,350 Cochituate Rd,
2385,Sayre,Sayre,PA,18840,2151 Elmira St,
2386,Ware,Ware,MA,1082,348 Palmer Rd,
2388,Sanford,Sanford,ME,4073,1900 Main St,
2389,Voorhees,Voorhees,NJ,8043,144 Route 73 North,
2391,S. Nashua,Nashua,NH,3060,143 Daniel Webster Highway,
2393,Plainville,Plainville,MA,2762,201 Washington St,
2395,Torrington,Torrington,CT,6790,420 Winsted Rd,
2396,Killingly,Dayville,CT,6241,1150 Killingly Commons Dr,
2397,N. Warwick,Warwick,RI,2886,555 Greenwich Ave,
2399,Norwich,Norwich,NY,13815,5411 State Highway 12,
2400,Herkimer,Herkimer,NY,13350,182 Lowes Blvd,
2401,Ogdensburg,Ogdensburg,NY,13669,2001 Ford Street Extension,
2402,Mantua Township,Sewell,NJ,8080,611 Woodbury Glassboro Rd,
2405,Avondale,Avondale,PA,19311,561 Hepburn Rd,
2407,Scarborough,Scarborough,ME,4074,1000 Gallery Blvd,
2409,W. York,York,PA,17404,1175 Carlisle Rd,
2411,Richland Township,Gibsonia,PA,15044,700 Grandview Crossing Rd,
2412,Edwardsville,Edwardsville,PA,18704,50 West Side Mall,
2414,Pocomoke City,Pocomoke City,MD,21851,275 Newtown Blvd,
2417,Scott Township,Carnegie,PA,15106,2100 Washington Pike,
2418,Ruston,Ruston,LA,71270,809 Morrison Dr,
2419,Littleton,Littleton,CO,80120,5095 S. Santa Fe Dr,
2420,Renton,Renton,WA,98055,1000 Garden Ave North,
2421,S. Phoenix,Phoenix,AZ,85041,1950 West Baseline Rd,
2423,W. Colorado Springs,Colorado Springs,CO,80918,4880 N Nevada Ave,
2424,N.E. Bakersfield,Bakersfield,CA,93305,1601 Columbus St,
2428,Manchester Township,Manchester,NJ,8759,1053 Highway 70,
2429,Wilmington,New Castle,DE,19720,2225 Hessler Blvd,
2431,Paramus,Paramus,NJ,7652,2000 Bergen Town Center,
2432,N. Westminster,Westminster,CO,80023,13650 Orchard Pkwy,
2434,Brockport,Brockport,NY,14420,300 Owens Rd,
2435,Brookings,Brookings,SD,57006,812 25th Ave,
2436,Cape Carteret,Cape Carteret,NC,28584,401 WB Mclean Dr,
2437,Clermont,Clermont,FL,34711,1501 Sandy Grove Ave,
2438,S.W. Orlando,Clermont,FL,34714,16905 Cagan Crossings Blvd,
2440,Euless,Euless,TX,76039,3000 S.H. 121,
2441,Forney,Forney,TX,75126,902 Highway 80,
2442,Fort Mill,Fort Mill,SC,29708,1640 Highway 160 West,
2444,Hornell,Hornell,NY,14843,949 State Route 36,
2448,Pittsboro,Pittsboro,NC,27312,121 Lowe's Dr,
2449,Rochester,Rochester,NH,3839,160 Washington Street Suite 800
2450,Rocky River,Rocky River,OH,44116,20639 Center Rdg Rd,
2451,Se Huntsville,Owens Cross Roads,AL,35763,6584 Us Highway 431 South,
2452,South San Francisco,South San Francisco,CA,94080,720 Dubuque Ave,
2453,Springville,Springville,NY,14141,440 South Cascade Dr,
2457,Auburndale,Auburndale,FL,33823,2301 U.S. Highway 92 West,
2458,Pulaski County,Radford,VA,24141,6115 Lowes Dr,
2459,Chillicothe,Chillicothe,MO,64601,100 West Business 36,
2460,E. Paducah,Paducah,KY,42003,3131 Irvin Cobb Dr,
2462,Live Oak,Live Oak,FL,32064,208 72nd Trace,
2464,Goose Creek,Goose Creek,SC,29445,520 Saint James Ave,
2465,Blaine,Blaine,MN,55434,11651 Ulysess St,
2466,Sioux Falls,Sioux Falls,SD,57106,4601 W. 26th St,
2468,Harlingen,Harlingen,TX,78550,4705 South Expy 77/83 ,
2470,Central New Orleans,New Orleans,LA,70117,2501 Elysian Fields Ave,
